,id,fullname,tweet_id,url,timestamp,text,replies,retweets,likes,hashtags,tweet_class,user,query,emoji_checked
0,1501,ＲＹＡＮ,975080566113685504,/Rkzeix/status/975080566113685504,2018-03-17 18:44:57,The Walking Dead Top 20 Villains https://anysource.co.uk/the-walking-dead-top-20-villains?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost … #television,0,0,0,#television,2,Rkzeix,The Walking Dead,1
1,1502,Pinklillies,975080520861171712,/PinkLilliesx/status/975080520861171712,2018-03-17 18:44:46,My thoughts exactly aha,0,0,0,,2,PinkLilliesx,The Walking Dead,1
2,1504,queen daenerys   📚 👬 😻,975080415445778433,/cefalexforte/status/975080415445778433,2018-03-17 18:44:21,"Nop, Fear the Walking Dead",1,0,0,,2,cefalexforte,The Walking Dead,1
3,1505,HOSPICIO NERD,975080402485481478,/HospicioNerd/status/975080402485481478,2018-03-17 18:44:18,Novo teaser de Fear The Walking Dead destacando a Madison http://HospicioNerd.com.br/novo-teaser-de-fear-the-walking-dead-destacando-a-madison/ …pic.twitter.com/eprXO6z1vL,0,0,0,,2,HospicioNerd,The Walking Dead,1
4,1506,Thomas Stevenson,975080394398883846,/thomassteven_81/status/975080394398883846,2018-03-17 18:44:16,"#FreeAugmentedRealityApps, #ArApps The Walking Dead: Our World AR Game Shows Off New Gameplay Footage https://goo.gl/CeNoU8 pic.twitter.com/kOGFrrfzf3",0,0,0,"#FreeAugmentedRealityApps, #ArApps",2,thomassteven_81,The Walking Dead,1
5,1507,محمد التميمي,975080083135311873,/Sir_52/status/975080083135311873,2018-03-17 18:43:02,The Walking Dead,0,0,0,,2,Sir_52,The Walking Dead,1
6,1508, 😼ZiK 💀DraKulL 🎮,975080036867850241,/ZiK_DraKulL/status/975080036867850241,2018-03-17 18:42:51,Me gustó un video de @YouTube http://youtu.be/x1Pqy2Tytgw?a  Why People Stopped Watching The Walking Dead,0,0,0,,-1,ZiK_DraKulL,The Walking Dead,1
7,1509,Jonathan Hoover,975079755908288512,/jonhoover3443/status/975079755908288512,2018-03-17 18:41:44,I should’ve taken some pics out in the concourse. Was like a real life Walking Dead episode.,0,0,0,,2,jonhoover3443,The Walking Dead,1
8,1510,emirdöküm 35 1/2,975079744520761347,/Emirdokum1912/status/975079744520761347,2018-03-17 18:41:41,The Walking Dead https://twitter.com/bbcturkce/status/975070275225243649 …,0,0,1,,2,Emirdokum1912,The Walking Dead,1
9,1512,DarkSwan,975079721267548162,/Swan_OUAT_/status/975079721267548162,2018-03-17 18:41:36,Encore un peu de fantaisie S08E11 of The Walking Dead! #TWD #tvtime https://tvtime.com/r/lz1Y pic.twitter.com/6KKiy9sEja,0,0,0,#TWD #tvtime,0,Swan_OUAT_,The Walking Dead,1
