,tweet_id,tweet_class,text,query
0,975080566113685504,2,<SHOW_NAME> top 20 villains <URL> … television,The Walking Dead
1,975080520861171712,2,my thoughts exactly aha,The Walking Dead
2,975080433271627776,0,<SHOW_NAME> is real sinu sou eu pic.twitter.com/nxd9jbydbq,The Walking Dead
3,975080415445778433,2,nop fear <SHOW_NAME>,The Walking Dead
4,975080402485481478,2,novo teaser de fear <SHOW_NAME> destacando a madison <URL> …pic.twitter.com/eprxo6z1vl,The Walking Dead
5,975080394398883846,2,freeaugmentedrealityapps arapps <SHOW_NAME>  our world ar game shows off new gameplay footage <URL> pic.twitter.com/kogfrrfzf3,The Walking Dead
6,975080083135311873,2,<SHOW_NAME>,The Walking Dead
7,975080036867850241,-1,me gustó un video de <HANDLE> <URL> why people stopped watching <SHOW_NAME>,The Walking Dead
8,975079755908288512,2,i should’ve taken some pics out in the concourse was like a real life walking dead episode,The Walking Dead
9,975079744520761347,2,<SHOW_NAME> <URL> …,The Walking Dead
10,975079740913737734,1,<SHOW_NAME> <SHOW_NAME> <SHOW_NAME> <SHOW_NAME> <SHOW_NAME> <SHOW_NAME> las fascinantes aventuras de ricardo y sus amigos contra unos zombies a todo gas,The Walking Dead
11,975079721267548162,0,encore un peu de fantaisie s08e11 of <SHOW_NAME>  twd tvtime <URL> pic.twitter.com/6kkiy9seja,The Walking Dead
12,975079659447578624,-1,i liked a <HANDLE> video <URL> why people stopped watching <SHOW_NAME>,The Walking Dead
13,975079630322520064,2,parece <SHOW_NAME> <URL> …,The Walking Dead
14,975079531030765568,2,assistindo <SHOW_NAME>,The Walking Dead
15,975079354739937280,2,<SHOW_NAME>  season 33 cap 155 catalufonia harrasing,The Walking Dead
16,975079257884983297,2,it only took me a year but i’ve finally finished playing <HANDLE> <SHOW_NAME> season 3,The Walking Dead
17,975079123868557312,2,saturday is the best day 22  urban decay podcast  lost np soundcloud storytelling storytime rpg roleplaying palladium deadreign zombies zombie walkingdead undead zombieapocalypse horror zombiepodcast <URL> …,The Walking Dead
18,975079028439711744,2,young people were walking away from the party now its a dead sprint <URL> …,The Walking Dead
19,975079026581757958,-1,<SHOW_NAME> gotta be the dumbest show ever nigga it’s a zombie apocalypse and the zombies not even a real threat half the time,The Walking Dead
20,975078898659676160,1,<HANDLE> <HANDLE> make <SHOW_NAME> decent again ffs this is so boring now all these bullshit flashback more blood and guts and more fucking zombies jheezz twd,The Walking Dead
21,975078867806203904,0,nowwatching <SHOW_NAME> s6 ep 15 twd,The Walking Dead
22,975078823229378560,2,i think maybe <SHOW_NAME> season 1,The Walking Dead
23,975078820100403200,2,i suppose even the walking brain dead need a reason to go on,The Walking Dead
24,975078751724810241,2,dead man walking the mudbugs are spot on today crawfish jay4food tbeauxscrawfish eat… <URL>,The Walking Dead
25,975078646812733440,0,watching <SHOW_NAME> season 8 series,The Walking Dead
26,975078443569336327,2,no problem good luck,The Walking Dead
27,975078368776421377,1,<SHOW_NAME> is pretty gord,The Walking Dead
28,975078359104479236,2,[comic spoilers] i just realized that the only background alexandrian’s still alive are the ones that should be dead by this point via /r/ <SHOW_NAME> <URL> twd walkingdead,The Walking Dead
29,975078295694905344,2,newgame inthe making  check out zombie apocalypse roleplay on roblox <URL> … rp simulation game run from <SHOW_NAME>  hide in a home and survive dont get bitten create a family and outrun the dead,The Walking Dead
30,975078260978544640,2,<SHOW_NAME> season 8 episode 12 online watch free [amc original network] on 18 march 2018 <URL> …,The Walking Dead
31,975077943490891777,-1,at least better than <SHOW_NAME> aka 7 episodes just for them to talk across a forest or finish a conversation pic.twitter.com/xp7kmeboj0,The Walking Dead
32,975077905649864704,2,<HANDLE> please make a walking dead themed jersey preferably with lucille in the main crest/logo btw my wife is pissed that i already own 4 jerseys from you all so lets make it 5 twd hockeyisforeveryonepic.twitter.com/tctoyfzlff,The Walking Dead
33,975077865694769152,1,<HANDLE> good luck with fear <SHOW_NAME> season 4 have a lovely st patricks day,The Walking Dead
34,975077733087657984,0,ay it was so sad what happened here how it is <SHOW_NAME> and all but yeah the entire population that i stole was born somewhere else,The Walking Dead
35,975077695393554432,2,"telltale games are cool should try <SHOW_NAME> the wolf among us,tales from the borderlands or life is strange all great games",The Walking Dead
36,975077659855093760,2,list book online new all book free | <SHOW_NAME>  vol.19 2016 <URL>,The Walking Dead
37,975077328756895744,2,$60 is a lot to pay on a fixed income with 5 kids how did you come up with the price i really want to sign up but geez lower the price or something,The Walking Dead
38,975077265045360641,0,i am not making rick grimes mistake when meeting negan in the lego walking dead version <URL>,The Walking Dead
39,975077254718992385,2,i am not making rick grimes mistake when meeting negan in the lego walking dead version <URL> …,The Walking Dead
40,975077228563197952,1,i liked a <HANDLE> video <URL> <SHOW_NAME>  the journey so far vostfr,The Walking Dead
41,975077183680122880,0,<HANDLE> why does it never rain in <SHOW_NAME> ,The Walking Dead
42,975077095717076992,0,|•| yeah it’s very disappointing that’s why i’m doing <SHOW_NAME> crossovers because there is literally no one around to rp with i mean there are some oc’s but besides your accounts i haven’t seen any other cannon characters,The Walking Dead
43,975077028125925376,-1,i’m sorry but this show is a shell of <SHOW_NAME> in terms of how enjoyable it is that’s my personal opinion and that’s all,The Walking Dead
44,975076847556939784,1,going to get a case of <SHOW_NAME> season 4 trading cards cant wait,The Walking Dead
45,975076712399618048,1,//finally catching up on <SHOW_NAME> and i’m ready to sob,The Walking Dead
46,975076693307084800,1,amazing ,The Walking Dead
47,975076627666341888,2,thats really beautiful,The Walking Dead
48,975076538440978439,0,|| im an avid comic book reader so i may read <SHOW_NAME> comics first as ive heard good things about them i also wouldnt want to watch the show first and spoil the books.||,The Walking Dead
49,975076355506360320,2,yo when i laugh i be sounding like <SHOW_NAME> lmfao,The Walking Dead
50,975076278985510916,0,fear <SHOW_NAME>  nick and ofelia have it out in deleted scene <URL> …,The Walking Dead
51,975076095543463941,2,the walking zombie dead city mod apk v2.35 unlimited money  <URL> …,The Walking Dead
52,975076027042066433,0,favorite walking dead episode — the ones where carl is alive <URL> …,The Walking Dead
53,975075814789255168,2,so just type that then it will show up after i tweet it,The Walking Dead
54,975075794010673154,2,parece <SHOW_NAME> jwjqu <URL> …,The Walking Dead
55,975075754202480641,2,~le han dado ganas de cantar así que…~ tonight im yours im your dead girl walking get on all fours kiss this dead girl walking lets go you know the drill im hot and pissed and on the pill bow down to the will of a dead girl walking,The Walking Dead
56,975075742823444480,2,fear <SHOW_NAME>  ‘after the fall’ season 4 teaser <URL> … <URL> …,The Walking Dead
57,975075608031125506,2,thank u,The Walking Dead
58,975075575558803456,2,trump wannabe tinpotdictator has drastically accelerated the demise of the gop with their own aiding & abetting the republican party is dead man walking treason,The Walking Dead
59,975075560203411457,0,the reveal is that carl faked his death to become a pro at pubg <URL>,The Walking Dead
60,975075543346503682,2,larger compensation for creating successful characters for the big two would have a lot of those top talent guys sticking around and not fleeing to image walking dead is an anamoly regarding high sales from a non big two book image of the exact same stories had a marvel logo,The Walking Dead
61,975075359958773761,2,gostei de um vídeo <HANDLE> <URL> … react to marianas death | <SHOW_NAME>  the new frontier season,The Walking Dead
62,975075327776092160,2,<SHOW_NAME> season 8 finale to be shown in theaters survival sunday <URL> via <HANDLE>,The Walking Dead
63,975075260210008064,-1,series i once loved but had to bail on lost once upon a time under the dome fringe grimm pending this season of walking dead <URL> …,The Walking Dead
64,975075238164795393,2,<SHOW_NAME> ta perdendo os camilizers pic.twitter.com/2zzntjf2dr,The Walking Dead
65,975075216769667073,0,ive just watched episode s03e11 of <SHOW_NAME>  twd tvtime <URL> pic.twitter.com/dlwwhzh3c0,The Walking Dead
66,975075064734470144,-1,<HANDLE> hey wanna fight since u guys are negan apologists <URL> …,The Walking Dead
67,975075041330200577,2,check out nwt <SHOW_NAME> zombie skull long sleeve shirt size xl amc graphictee <URL> … via <HANDLE>,The Walking Dead
68,975075021952401408,0,<SHOW_NAME> airs after lights off at the home hes in,The Walking Dead
69,975074814116450305,0,acabei de assistir s08e07 of <SHOW_NAME>  twd tvtime <URL> pic.twitter.com/haag3mlk8f,The Walking Dead
70,975074651050332160,1,but the guy from walking dead is in it so it must be cool,The Walking Dead
71,975074591994466304,1,amc announces survival sunday <SHOW_NAME> & fear <SHOW_NAME> fan event walkingedead <URL>,The Walking Dead
72,975074566551715840,2,<SHOW_NAME>  no mans land apk + obb <URL> pic.twitter.com/wlpi5pdof9,The Walking Dead
73,975074566308376576,2,<SHOW_NAME>  no mans land apk + obb <URL> pic.twitter.com/0fypkoqgxi,The Walking Dead
74,975074455377645568,0,ive just watched episode s08e10 of <SHOW_NAME>  tvtime <URL> pic.twitter.com/2hztabgrx9,The Walking Dead
